sample_idx,count,mean,std,min,max
0,34359869440,9491.273972815776,2122.6551635337632,28.347352981567383,46543.3828125
1,34359869440,9338.912643227708,1939.9114060437187,27.46304702758789,38455.75
2,34359869440,10061.169183852408,1784.9166241302296,26.33155059814453,48011.203125
3,34359869440,10436.978360678984,2685.3342548052774,43.6489372253418,52808.609375
4,34359869440,9646.630448706079,2012.3374107028671,29.85302734375,38111.01953125
5,34359869440,10436.449318030558,2344.532138818414,18.496944427490234,36690.4140625
6,34359869440,9509.748272914374,2237.611195572613,17.22885513305664,36161.6953125
7,34359869440,9157.10672353173,2083.3167691574517,20.826887130737305,34140.921875
8,34359869440,11058.262926771333,2475.4112525891933,22.809589385986328,62162.69140625
9,34359869440,10886.07096414026,2507.579197611285,18.572681427001953,52399.9296875
