layer,length,count,mean,std,min,max
26,20,49994963,12022.628009608648,2200.3963878115296,1907.49609375,40160.3046875
26,40,49994976,12724.423054276866,2360.091636254684,436.33349609375,44681.97265625
26,60,49994995,12974.09273828097,2501.040001211208,1031.077392578125,52858.8046875
26,80,49994998,13147.599480537188,2527.923921916523,398.5654296875,50035.44921875
26,100,49994999,13194.214511173315,2578.2860059263403,1520.329345703125,53408.0546875
26,120,49994999,13243.949526794253,2579.653449048093,2236.35205078125,55667.203125
26,140,49994999,13291.831482095948,2563.7362466758414,2949.208251953125,56749.296875
26,160,49995000,13306.811370315689,2536.8665743229226,2278.913818359375,54050.890625
26,180,49995000,13289.727038204666,2507.112348894214,3890.328857421875,59774.0859375
26,200,49995000,13359.916236685176,2517.2880524804855,4207.72119140625,49238.9609375
26,220,49995000,13411.098441233025,2554.034973474236,3649.701171875,54528.20703125
26,240,49995000,13447.083686978087,2537.312657879421,4085.033447265625,52563.62890625
26,260,49995000,13421.119406915133,2565.3082895870643,2869.0703125,59588.36328125
26,280,49995000,13490.978735898254,2507.756455533574,2205.666015625,54686.38671875
26,300,49995000,13528.120745176913,2570.904645031003,3587.294921875,57360.66015625
26,320,49995000,13593.39999093674,2630.54511240208,3719.79736328125,57518.87890625
26,340,49995000,13651.453078117976,2612.2479546311374,3548.51806640625,51443.56640625
26,360,49995000,13616.868739503305,2544.1486804209,3087.82421875,55356.80078125
26,380,49995000,13645.757489543901,2548.909829333565,3161.8603515625,51476.19140625
26,400,49995000,13730.92948807006,2630.6558294831775,2752.919189453125,55863.75390625
26,420,49995000,13757.762696094587,2680.7539847534304,3576.238037109375,60994.03515625
26,440,49995000,13801.211733700175,2662.1752899656476,3699.5654296875,55586.82421875
26,460,49995000,13798.74770659329,2680.504770101449,3430.3359375,54334.14453125
26,480,49995000,13742.091592744959,2640.440784225502,2246.931884765625,55439.1953125
26,500,49995000,13799.030190799907,2707.939060087128,3582.871826171875,57146.515625
