layer,length,count,mean,std,min,max
12,20,49994821,284.1374081872638,112.65984993593167,0.00041982170660048723,1479.25146484375
12,40,49994984,308.69630147116436,120.45726231213558,0.0004659706319216639,1394.7227783203125
12,60,49994994,318.5919164023421,122.86466875959697,0.0007457608007825911,1580.808837890625
12,80,49994995,328.64710434606394,129.39697927200945,4.878380298614502,1597.84521484375
12,100,49994996,333.69905442064083,131.35197487796614,5.765114784240723,1414.8372802734375
12,120,49994997,336.76536668706075,130.0223027481999,4.737256050109863,1479.547607421875
12,140,49994999,342.21747895436187,137.98729767159134,7.99325704574585,1492.0556640625
12,160,49995000,345.07322840545686,139.5164380460176,23.603534698486328,1547.713623046875
12,180,49995000,347.89614792648155,138.9479043198167,18.465373992919922,1435.56201171875
12,200,49995000,351.2275987116658,142.75238052783203,22.3560733795166,1509.24609375
12,220,49995000,353.5856279525241,143.0436583548988,21.17034339904785,1451.26025390625
12,240,49995000,354.82229187444824,143.44961556727114,17.074172973632812,1439.55908203125
12,260,49995000,356.7989504380091,143.67463193807205,10.474434852600098,1458.1177978515625
12,280,49995000,355.15315322306225,142.62915060222016,16.606889724731445,1478.694091796875
12,300,49995000,360.4477912388179,149.03082277008008,35.234649658203125,1461.9998779296875
12,320,49995000,359.66273471041774,146.03737448190594,37.03774642944336,1409.0067138671875
12,340,49995000,362.4596530212894,147.51758421744066,19.651643753051758,1421.0235595703125
12,360,49995000,363.0032643503265,147.12464482438716,21.785850524902344,1444.16748046875
12,380,49995000,364.5324265200518,150.35069289961675,24.8211669921875,1431.578857421875
12,400,49995000,363.9735689455928,145.8267405507926,21.05408477783203,1424.346435546875
12,420,49995000,367.03099193899266,149.74867504149768,37.16691207885742,1519.7042236328125
12,440,49995000,367.6859455354812,151.3173833408688,34.648983001708984,1438.20068359375
12,460,49995000,369.73861044111794,151.32735115756722,38.056365966796875,1444.05419921875
12,480,49995000,369.4110287768862,152.98566923275246,36.8924560546875,1536.643798828125
12,500,49995000,369.47457641142944,150.99794212245365,35.41541290283203,1550.1561279296875
