dataset,index,layer,learning_rate,token_length,match,inversion_time,timesteps,times
0000_wikipedia_tokenized.json,81,12,1.0,20,True,13.738230466842651,47_54_8_11_37_21_11_50_15_12_47_14_21_48_38_27_26_27_20_29,1.14_1.06_0.16_0.21_0.74_0.43_0.22_0.99_0.31_0.25_0.95_0.28_0.42_0.97_0.77_0.55_0.53_0.55_0.40_0.58
0000_wikipedia_tokenized.json,82,12,1.0,20,True,30.185657262802124,820_14_29_12_24_37_11_43_20_43_31_14_9_74_11_46_20_19_128_16,15.60_0.29_0.57_0.25_0.50_0.77_0.23_0.89_0.41_0.88_0.64_0.29_0.19_1.54_0.22_0.95_0.41_0.39_2.62_0.32
0000_wikipedia_tokenized.json,83,12,1.0,20,True,21.185925483703613,548_20_55_8_23_11_13_73_9_23_6_44_12_18_18_16_35_13_10_7,10.46_0.40_1.11_0.16_0.48_0.23_0.27_1.49_0.18_0.47_0.12_0.91_0.25_0.38_0.38_0.33_0.74_0.27_0.21_0.15
0000_wikipedia_tokenized.json,84,12,1.0,20,True,16.75945234298706,288_11_10_43_9_18_38_12_8_25_27_11_21_21_67_12_7_15_71_13,5.48_0.22_0.21_0.90_0.19_0.37_0.78_0.25_0.17_0.51_0.56_0.23_0.45_0.44_1.36_0.25_0.14_0.31_1.46_0.27
0000_wikipedia_tokenized.json,85,12,1.0,20,True,24.674378633499146,46_29_15_24_11_9_40_54_15_16_5_64_24_15_80_15_41_10_545_45,0.89_0.59_0.31_0.49_0.23_0.19_0.82_1.10_0.31_0.33_0.10_1.31_0.49_0.32_1.64_0.31_0.83_0.21_11.09_0.90
0000_wikipedia_tokenized.json,86,12,1.0,20,True,16.86047625541687,48_33_63_17_11_20_14_30_18_13_21_42_33_18_126_30_35_83_37_35,0.91_0.67_1.26_0.35_0.22_0.40_0.28_0.60_0.36_0.27_0.42_0.86_0.67_0.37_2.58_0.61_0.71_1.67_0.74_0.70
0000_wikipedia_tokenized.json,87,12,1.0,20,True,14.056997776031494,28_15_19_56_7_20_42_30_9_20_6_101_21_23_18_33_16_51_9_62,0.54_0.30_0.38_1.13_0.15_0.41_0.85_0.59_0.19_0.41_0.12_2.05_0.43_0.47_0.37_0.68_0.33_1.02_0.19_1.25
0000_wikipedia_tokenized.json,88,12,1.0,20,True,11.375189542770386,22_9_13_34_22_19_16_35_14_29_17_12_13_22_15_33_67_32_14_17,0.41_0.18_0.26_0.70_0.44_0.38_0.32_0.70_0.28_0.60_0.34_0.25_0.26_0.45_0.30_0.67_1.35_0.65_0.28_0.35
0000_wikipedia_tokenized.json,89,12,1.0,20,True,22.840482234954834,548_15_74_15_19_17_9_60_8_18_35_13_13_85_17_12_17_33_11_36,10.42_0.30_1.48_0.30_0.38_0.34_0.18_1.22_0.17_0.37_0.70_0.26_0.26_1.72_0.34_0.24_0.34_0.65_0.23_0.74
0001_wikipedia_tokenized.json,81,12,1.0,40,True,40.261011600494385,362_64_8_34_15_10_12_57_12_14_11_19_9_12_15_42_25_38_19_10_75_30_27_49_58_14_57_8_24_22_11_13_31_45_16_19_395_30_43_35,6.92_1.29_0.16_0.68_0.30_0.21_0.25_1.15_0.24_0.29_0.22_0.38_0.19_0.25_0.31_0.84_0.49_0.79_0.38_0.20_1.51_0.61_0.55_1.01_1.17_0.30_1.15_0.17_0.50_0.46_0.22_0.27_0.63_0.90_0.32_0.39_7.96_0.60_0.87_0.72
0001_wikipedia_tokenized.json,82,12,1.0,40,True,28.90430235862732,24_6_9_27_15_27_6_31_64_17_34_13_69_86_10_14_56_8_33_20_22_96_13_15_22_46_21_37_16_13_73_68_13_21_24_15_18_18_47_23,0.47_0.12_0.19_0.55_0.30_0.55_0.13_0.62_1.30_0.34_0.70_0.27_1.41_1.75_0.21_0.30_1.13_0.16_0.65_0.41_0.46_1.92_0.27_0.31_0.46_0.95_0.44_0.78_0.33_0.28_1.53_1.41_0.27_0.44_0.49_0.31_0.37_0.39_0.97_0.47
0001_wikipedia_tokenized.json,83,12,1.0,40,True,30.82857894897461,362_9_10_27_11_9_22_27_12_18_23_8_148_15_44_13_124_11_8_20_17_21_9_23_7_48_12_28_17_16_25_12_15_13_23_26_10_36_13_16,6.93_0.19_0.21_0.55_0.23_0.18_0.45_0.56_0.26_0.38_0.48_0.17_3.02_0.31_0.92_0.27_2.54_0.23_0.17_0.42_0.35_0.43_0.19_0.48_0.14_0.98_0.25_0.59_0.36_0.34_0.52_0.25_0.31_0.27_0.46_0.52_0.21_0.74_0.27_0.33
