dataset,index,layer,learning_rate,token_length,match,inversion_time,timesteps,times
0000_wikipedia_tokenized.json,27,12,1.0,20,True,4319.832977294922,9021_19510_49018_13513_29874_32637_39960_42187_49_39076_23166_36450_24549_36930_28383_26775_1599_23780_45897_20649,69.83_153.38_397.10_105.96_235.49_258.03_319.65_338.67_0.40_311.16_184.65_290.72_195.41_294.53_225.89_212.09_12.65_187.97_361.02_163.07
0000_wikipedia_tokenized.json,28,12,1.0,20,True,3575.108309030533,21281_11854_15422_28987_27614_43109_38756_8405_4682_9776_47597_1781_23720_14228_24312_31144_4304_27196_49660_13321,167.58_94.24_122.15_230.01_222.43_345.45_311.49_67.43_37.65_78.53_381.97_14.39_189.99_114.53_194.97_250.84_34.56_216.23_393.23_105.28
0000_wikipedia_tokenized.json,29,12,1.0,20,True,4066.339477777481,36779_9699_24628_43149_1636_16991_36887_39501_44079_44291_30846_45458_617_1772_16909_8678_40639_17741_2726_46523,284.51_76.81_194.68_341.95_12.97_134.82_294.16_317.46_355.51_355.21_246.59_363.87_4.92_14.18_135.77_69.25_325.29_142.10_21.80_372.28
0000_wikipedia_tokenized.json,30,12,1.0,20,True,3577.511292219162,2153_22636_43094_17855_3793_16991_7179_10068_10659_47637_22641_13595_48863_37120_14292_35373_31451_16964_9074_33903,17.11_180.53_345.56_142.29_30.47_136.09_57.30_80.37_84.32_378.94_180.67_109.18_392.97_298.98_115.41_285.46_254.18_137.43_73.69_274.35
0000_wikipedia_tokenized.json,31,12,1.0,20,True,3733.59583735466,31853_35851_16530_32700_28545_34282_10881_15198_18640_11359_8341_30022_25621_10167_49851_39924_12129_37341_11564_5471,253.77_285.63_131.64_258.61_226.16_272.84_86.80_120.92_148.75_91.54_66.94_240.05_205.11_81.44_400.65_322.35_98.50_302.60_93.24_43.84
0000_wikipedia_tokenized.json,32,12,1.0,20,True,3578.9464190006256,13017_16050_2238_45263_20551_35799_34266_13697_15672_41671_363_10096_7510_24971_9774_35373_22454_49240_34533_13321,105.36_128.30_17.90_361.60_162.60_286.21_277.21_109.68_126.47_335.87_2.94_81.29_60.65_201.14_78.32_284.15_180.77_394.73_275.59_105.98
0000_wikipedia_tokenized.json,33,12,1.0,20,True,2484.242899656296,5982_6215_4057_9442_31698_325_6437_31001_9110_10235_48164_1781_32198_29842_3900_435_4954_27196_45911_2730,47.39_49.21_32.30_75.26_253.89_2.62_51.06_246.44_71.98_81.34_381.57_14.12_255.57_237.52_31.11_3.46_39.65_217.71_368.00_21.88
0000_wikipedia_tokenized.json,34,12,1.0,20,True,3614.067378282547,34146_36444_8188_28891_8542_45727_3813_22917_33717_10630_33019_30897_11542_3360_4681_9822_35273_29077_30335_30736,272.57_293.78_66.04_232.76_68.80_367.82_30.66_184.67_272.19_85.34_263.97_245.73_91.89_26.78_37.24_78.16_279.21_229.99_240.52_243.71
0000_wikipedia_tokenized.json,35,12,1.0,20,True,4855.783491373062,36507_21284_6991_31134_41873_1428_43317_37857_39658_11685_36583_36506_48187_8390_26110_48319_44071_26224_27309_30664,289.26_169.34_55.81_249.46_334.97_11.49_353.17_306.18_319.76_94.91_292.80_290.24_384.83_67.59_209.56_388.38_354.16_212.71_221.29_247.67
0010_random-0010_random.json,3,12,1.0,20,True,3336.5421805381775,1309_4665_19656_3033_2064_16325_20076_18252_49283_46329_2162_23807_28436_4961_32179_38846_44018_11729_18236_31054,10.52_37.81_158.59_24.53_16.67_131.75_161.92_146.51_396.55_369.97_17.60_191.15_228.46_39.79_256.52_308.25_350.16_93.62_146.29_247.69
