dataset,index,layer,learning_rate,token_length,match,inversion_time,timesteps,times
0000_wikipedia_tokenized.json,0,3,1.0,20,True,6.333323955535889,43_5_59_14_6_5_5_8_5_7_7_5_30_9_5_4_5_5_13_6,0.94_0.08_0.92_0.22_0.10_0.08_0.08_0.13_0.08_0.11_0.11_0.08_0.48_0.15_0.08_0.07_0.08_0.08_0.21_0.10
0000_wikipedia_tokenized.json,1,3,1.0,20,True,7.903248310089111,246_5_5_5_7_5_8_9_6_5_10_7_8_11_6_6_12_5_7_6,3.60_0.08_0.08_0.08_0.11_0.08_0.13_0.14_0.10_0.08_0.16_0.11_0.13_0.18_0.10_0.10_0.19_0.08_0.11_0.10
0000_wikipedia_tokenized.json,2,3,1.0,20,True,21.621049165725708,1100_8_4_7_56_15_8_12_6_6_5_6_4_22_5_16_10_6_6_8,16.11_0.13_0.06_0.11_0.88_0.24_0.13_0.19_0.10_0.10_0.08_0.10_0.07_0.35_0.08_0.26_0.16_0.10_0.10_0.13
0000_wikipedia_tokenized.json,3,3,1.0,20,True,19.609919786453247,988_5_15_5_5_10_5_9_7_8_8_8_6_5_49_6_7_6_4_10,14.58_0.08_0.24_0.08_0.08_0.16_0.08_0.15_0.11_0.13_0.13_0.13_0.10_0.08_0.79_0.10_0.11_0.10_0.07_0.16
0000_wikipedia_tokenized.json,4,3,1.0,20,True,21.991681575775146,1174_14_6_6_7_7_6_13_6_8_12_7_12_8_7_6_8_7_5_6,17.39_0.22_0.10_0.10_0.11_0.11_0.10_0.21_0.10_0.13_0.19_0.12_0.20_0.13_0.12_0.10_0.13_0.11_0.08_0.10
0000_wikipedia_tokenized.json,5,3,1.0,20,True,6.606359958648682,81_16_5_26_3_7_4_20_8_16_5_16_5_21_7_14_8_8_5_8,1.20_0.25_0.08_0.41_0.05_0.11_0.07_0.32_0.13_0.26_0.08_0.26_0.08_0.34_0.12_0.23_0.13_0.13_0.08_0.13
0000_wikipedia_tokenized.json,6,3,1.0,20,True,10.661354064941406,398_6_13_6_5_7_8_24_6_5_11_6_4_9_5_24_4_6_7_6,5.89_0.10_0.21_0.10_0.08_0.11_0.13_0.38_0.10_0.08_0.18_0.10_0.07_0.15_0.08_0.39_0.07_0.10_0.11_0.10
0000_wikipedia_tokenized.json,7,3,1.0,20,True,6.264599084854126,43_5_6_45_11_7_10_6_12_10_5_9_3_5_10_4_13_7_7_41,0.64_0.08_0.10_0.72_0.18_0.11_0.16_0.10_0.19_0.16_0.08_0.15_0.05_0.08_0.16_0.07_0.21_0.11_0.11_0.65
0000_wikipedia_tokenized.json,8,3,1.0,20,True,12.104488134384155,464_5_44_6_5_6_6_6_4_12_8_6_10_4_7_6_6_35_8_8,6.86_0.08_0.69_0.10_0.08_0.10_0.10_0.10_0.07_0.19_0.13_0.10_0.16_0.07_0.12_0.10_0.10_0.56_0.13_0.13
0001_wikipedia_tokenized.json,0,3,1.0,40,True,12.145577430725098,45_6_12_14_3_5_24_28_7_6_6_59_10_5_5_6_28_7_9_7_7_4_4_6_15_5_25_25_8_5_5_4_9_6_5_23_7_5_17_11,0.67_0.10_0.19_0.23_0.05_0.08_0.38_0.45_0.11_0.10_0.10_0.95_0.16_0.08_0.08_0.10_0.45_0.11_0.15_0.12_0.12_0.07_0.07_0.10_0.24_0.08_0.40_0.40_0.13_0.08_0.08_0.07_0.15_0.10_0.08_0.37_0.12_0.08_0.27_0.18
0001_wikipedia_tokenized.json,1,3,1.0,40,True,15.081702709197998,288_6_5_39_8_16_5_7_5_5_9_5_11_6_6_4_10_7_9_9_9_9_9_3_5_5_5_8_12_5_20_15_5_13_5_7_58_5_19_12,4.27_0.10_0.08_0.62_0.13_0.26_0.08_0.11_0.08_0.08_0.15_0.08_0.18_0.10_0.10_0.07_0.16_0.11_0.15_0.15_0.15_0.15_0.15_0.05_0.08_0.08_0.08_0.13_0.20_0.08_0.32_0.24_0.08_0.21_0.08_0.12_0.92_0.08_0.31_0.20
0001_wikipedia_tokenized.json,2,3,1.0,40,True,10.424514770507812,45_15_8_6_6_5_7_19_7_30_6_6_9_5_8_6_7_6_16_6_14_6_5_4_6_7_6_11_5_6_17_5_6_9_4_5_10_8_7_15,0.67_0.24_0.13_0.10_0.10_0.08_0.11_0.31_0.11_0.48_0.10_0.10_0.15_0.08_0.13_0.10_0.11_0.10_0.26_0.10_0.23_0.10_0.08_0.07_0.10_0.12_0.10_0.18_0.08_0.10_0.28_0.08_0.10_0.15_0.07_0.09_0.16_0.13_0.12_0.24
0001_wikipedia_tokenized.json,3,3,1.0,40,True,12.588058471679688,184_5_13_4_4_8_5_6_21_10_8_9_5_9_7_5_5_6_10_7_9_6_10_5_35_11_6_6_6_11_7_9_7_5_26_7_6_7_9_6,2.73_0.08_0.21_0.07_0.07_0.13_0.08_0.10_0.34_0.16_0.13_0.15_0.08_0.15_0.12_0.08_0.08_0.10_0.16_0.11_0.15_0.10_0.16_0.08_0.56_0.18_0.10_0.10_0.10_0.18_0.12_0.15_0.11_0.08_0.41_0.12_0.10_0.12_0.15_0.10
0001_wikipedia_tokenized.json,4,3,1.0,40,True,16.594425201416016,437_10_5_23_13_6_10_10_7_6_9_6_6_17_9_10_8_4_7_10_9_8_4_13_7_28_5_7_11_6_7_5_3_15_5_8_6_11_5_18,6.47_0.16_0.08_0.37_0.21_0.10_0.16_0.16_0.11_0.10_0.15_0.10_0.10_0.27_0.15_0.16_0.13_0.07_0.11_0.16_0.15_0.13_0.07_0.21_0.12_0.45_0.08_0.12_0.18_0.10_0.12_0.09_0.05_0.24_0.08_0.13_0.10_0.18_0.09_0.29
0001_wikipedia_tokenized.json,5,3,1.0,40,True,17.081268072128296,430_4_13_5_3_12_6_21_6_15_6_4_5_24_9_15_6_41_6_16_10_8_5_4_7_8_14_9_7_4_33_6_12_7_8_5_8_10_6_6,6.37_0.07_0.21_0.08_0.05_0.19_0.10_0.34_0.10_0.24_0.10_0.07_0.08_0.39_0.15_0.24_0.10_0.65_0.10_0.26_0.16_0.13_0.08_0.07_0.12_0.13_0.23_0.15_0.12_0.07_0.53_0.10_0.19_0.12_0.13_0.08_0.13_0.16_0.10_0.10
0001_wikipedia_tokenized.json,6,3,1.0,40,True,27.0394868850708,1146_11_11_12_5_4_14_6_7_15_20_6_7_8_5_10_7_4_10_15_13_8_7_14_7_8_7_8_14_4_5_16_5_9_5_4_18_8_10_7,16.97_0.18_0.18_0.19_0.08_0.07_0.22_0.10_0.11_0.24_0.32_0.10_0.12_0.13_0.08_0.16_0.11_0.07_0.16_0.24_0.21_0.13_0.12_0.23_0.12_0.13_0.12_0.13_0.23_0.07_0.08_0.26_0.08_0.15_0.08_0.07_0.29_0.13_0.16_0.12
0001_wikipedia_tokenized.json,7,3,1.0,40,True,16.612781286239624,231_5_6_9_5_22_10_6_18_8_6_4_31_6_14_16_26_5_6_42_17_11_9_5_7_7_6_5_5_4_7_4_6_8_7_132_44_6_10_7,3.41_0.08_0.10_0.15_0.08_0.35_0.16_0.10_0.29_0.13_0.10_0.07_0.50_0.10_0.23_0.26_0.41_0.08_0.10_0.67_0.27_0.18_0.15_0.08_0.12_0.11_0.10_0.08_0.08_0.07_0.12_0.07_0.10_0.13_0.12_2.08_0.70_0.10_0.16_0.12
0001_wikipedia_tokenized.json,8,3,1.0,40,True,12.934463262557983,55_6_8_17_5_7_9_23_8_5_5_33_5_14_6_19_45_6_5_7_6_7_49_6_6_8_5_7_5_4_45_6_5_29_7_8_20_5_13_9,0.82_0.10_0.13_0.27_0.08_0.11_0.15_0.37_0.13_0.09_0.08_0.53_0.08_0.23_0.10_0.31_0.71_0.10_0.08_0.11_0.10_0.12_0.78_0.10_0.10_0.13_0.08_0.12_0.08_0.07_0.72_0.10_0.08_0.46_0.12_0.13_0.32_0.08_0.21_0.15
0002_wikipedia_tokenized.json,0,3,1.0,60,True,21.52631115913391,296_34_6_6_9_6_5_23_5_6_10_25_9_5_9_7_12_17_5_6_13_14_5_5_5_18_56_6_7_6_33_7_4_6_4_12_5_8_10_4_12_12_7_4_6_7_13_5_5_21_4_8_27_5_6_38_18_6_10_7,4.38_0.54_0.10_0.10_0.15_0.10_0.08_0.37_0.08_0.10_0.16_0.40_0.15_0.08_0.15_0.12_0.19_0.27_0.08_0.10_0.22_0.23_0.08_0.08_0.08_0.29_0.89_0.10_0.12_0.10_0.53_0.12_0.07_0.10_0.07_0.19_0.08_0.13_0.16_0.07_0.20_0.20_0.12_0.07_0.10_0.12_0.21_0.09_0.09_0.34_0.07_0.13_0.44_0.09_0.10_0.61_0.29_0.10_0.17_0.12
0002_wikipedia_tokenized.json,1,3,1.0,60,True,17.389328718185425,27_6_8_6_4_5_7_9_9_6_54_8_15_5_7_5_7_10_4_8_11_5_4_8_23_8_10_8_5_53_5_5_4_6_7_9_5_18_18_5_6_5_8_41_6_54_9_5_5_7_11_7_11_5_21_4_8_13_12_7,0.40_0.10_0.13_0.10_0.07_0.08_0.11_0.15_0.15_0.10_0.87_0.13_0.24_0.08_0.12_0.08_0.11_0.16_0.07_0.13_0.18_0.08_0.07_0.13_0.37_0.13_0.16_0.13_0.08_0.85_0.08_0.08_0.07_0.10_0.12_0.15_0.08_0.29_0.29_0.08_0.10_0.08_0.13_0.65_0.10_0.86_0.15_0.09_0.09_0.12_0.18_0.12_0.18_0.09_0.34_0.07_0.13_0.21_0.20_0.12
0002_wikipedia_tokenized.json,2,3,1.0,60,True,15.824847936630249,23_11_5_17_7_5_12_12_10_6_6_7_5_7_55_9_8_17_5_8_10_5_6_7_5_14_11_7_5_4_18_4_8_5_5_21_7_6_9_5_4_10_8_5_21_8_5_7_4_7_7_19_8_8_14_7_7_6_15_6,0.34_0.18_0.08_0.27_0.11_0.08_0.19_0.19_0.16_0.10_0.10_0.12_0.08_0.12_0.88_0.15_0.13_0.27_0.08_0.13_0.16_0.08_0.10_0.12_0.08_0.23_0.18_0.12_0.08_0.07_0.29_0.07_0.13_0.08_0.08_0.33_0.12_0.10_0.15_0.08_0.07_0.16_0.13_0.08_0.34_0.13_0.09_0.12_0.07_0.12_0.12_0.31_0.13_0.13_0.23_0.12_0.12_0.10_0.25_0.10
0002_wikipedia_tokenized.json,3,3,1.0,60,True,19.22957158088684,287_4_7_6_9_6_8_6_11_33_5_6_5_11_20_8_7_10_6_16_7_10_4_5_9_7_6_8_9_17_19_5_8_7_5_5_5_5_7_5_4_9_6_14_9_9_13_9_7_5_7_7_5_36_6_7_7_7_6_8,4.25_0.07_0.11_0.10_0.15_0.10_0.13_0.10_0.18_0.53_0.08_0.10_0.08_0.18_0.32_0.13_0.11_0.16_0.10_0.26_0.11_0.16_0.07_0.08_0.15_0.12_0.10_0.13_0.15_0.28_0.31_0.08_0.13_0.11_0.08_0.08_0.08_0.08_0.12_0.08_0.07_0.15_0.10_0.23_0.15_0.15_0.21_0.15_0.12_0.09_0.12_0.12_0.09_0.58_0.10_0.12_0.12_0.12_0.10_0.13
0002_wikipedia_tokenized.json,4,3,1.0,60,True,25.549217462539673,484_17_16_5_4_13_4_46_9_6_58_6_5_5_57_6_12_26_9_16_8_8_8_7_7_4_5_9_6_68_5_13_6_8_7_7_5_10_9_10_4_7_5_11_25_17_7_7_5_8_11_13_12_14_5_11_7_5_9_19,7.17_0.27_0.25_0.08_0.07_0.21_0.07_0.73_0.15_0.10_0.93_0.10_0.08_0.08_0.92_0.10_0.19_0.41_0.15_0.26_0.13_0.13_0.13_0.12_0.12_0.07_0.08_0.15_0.10_1.09_0.08_0.21_0.10_0.13_0.12_0.12_0.08_0.16_0.15_0.16_0.07_0.12_0.08_0.18_0.40_0.28_0.12_0.12_0.09_0.13_0.18_0.21_0.20_0.23_0.09_0.18_0.12_0.09_0.15_0.31
0002_wikipedia_tokenized.json,5,3,1.0,60,True,17.528241872787476,43_15_44_6_5_12_5_14_5_13_6_5_40_5_13_6_33_4_7_7_15_11_8_4_8_7_8_5_6_8_13_5_9_20_8_6_5_32_8_9_4_9_7_6_10_11_7_6_12_11_8_13_14_6_22_8_8_17_12_7,0.64_0.24_0.70_0.10_0.08_0.19_0.08_0.23_0.08_0.21_0.10_0.08_0.64_0.08_0.21_0.10_0.53_0.07_0.11_0.11_0.24_0.18_0.13_0.07_0.13_0.12_0.13_0.08_0.10_0.13_0.21_0.08_0.15_0.32_0.13_0.10_0.08_0.51_0.13_0.15_0.07_0.15_0.12_0.10_0.16_0.18_0.12_0.10_0.20_0.18_0.13_0.21_0.23_0.10_0.36_0.13_0.13_0.28_0.20_0.12
0002_wikipedia_tokenized.json,6,3,1.0,60,True,20.494933605194092,213_6_6_22_5_5_7_5_25_5_30_4_4_6_12_24_18_7_5_44_5_5_17_26_7_8_5_8_12_4_6_7_10_10_5_9_7_5_7_8_5_54_5_6_12_6_15_5_5_58_7_9_5_11_8_5_9_11_12_9,3.15_0.10_0.10_0.35_0.08_0.08_0.11_0.08_0.40_0.08_0.48_0.07_0.07_0.10_0.20_0.39_0.29_0.11_0.08_0.70_0.08_0.08_0.27_0.42_0.12_0.13_0.08_0.13_0.20_0.07_0.10_0.12_0.16_0.16_0.08_0.15_0.12_0.08_0.12_0.13_0.08_0.86_0.08_0.10_0.20_0.10_0.24_0.09_0.09_0.93_0.12_0.15_0.09_0.18_0.13_0.09_0.15_0.18_0.20_0.15
0002_wikipedia_tokenized.json,7,3,1.0,60,True,18.370058298110962,98_16_6_4_49_8_6_10_13_12_4_7_7_6_12_7_7_7_9_6_11_9_5_12_8_12_5_14_7_23_22_7_5_7_40_20_13_13_5_5_8_5_6_4_6_9_8_5_5_9_21_11_5_24_10_22_7_22_9_8,1.45_0.25_0.10_0.07_0.78_0.13_0.10_0.16_0.21_0.19_0.07_0.12_0.12_0.10_0.20_0.12_0.11_0.11_0.15_0.10_0.18_0.15_0.08_0.19_0.13_0.19_0.08_0.22_0.11_0.37_0.35_0.12_0.08_0.11_0.63_0.32_0.21_0.21_0.08_0.08_0.13_0.08_0.10_0.07_0.10_0.15_0.13_0.08_0.08_0.15_0.34_0.18_0.09_0.39_0.17_0.35_0.12_0.36_0.15_0.13
0002_wikipedia_tokenized.json,8,3,1.0,60,True,21.912882804870605,192_58_4_6_7_7_8_66_12_6_7_5_8_9_7_5_15_8_4_15_52_6_5_4_24_5_6_9_20_19_7_6_5_5_5_51_15_6_8_6_7_6_9_27_7_6_8_6_5_50_6_43_9_7_6_12_12_8_20_6,2.84_0.90_0.06_0.10_0.11_0.11_0.13_1.04_0.19_0.10_0.11_0.08_0.13_0.15_0.11_0.08_0.24_0.13_0.07_0.24_0.82_0.10_0.08_0.07_0.38_0.08_0.10_0.15_0.32_0.31_0.12_0.10_0.08_0.08_0.08_0.81_0.24_0.10_0.13_0.10_0.12_0.10_0.15_0.43_0.12_0.10_0.13_0.10_0.09_0.79_0.10_0.68_0.15_0.12_0.10_0.19_0.20_0.13_0.32_0.10
0003_wikipedia_tokenized.json,0,3,1.0,80,True,23.826297283172607,82_30_8_5_7_7_7_7_6_6_6_6_8_4_10_5_25_7_7_14_8_5_20_3_6_13_20_12_7_7_5_8_7_4_6_19_13_8_8_6_14_10_8_3_6_61_11_5_5_8_5_5_8_6_6_44_6_8_5_8_5_12_10_6_111_5_5_14_9_6_19_13_5_6_5_8_4_9_8_5,1.21_0.47_0.13_0.08_0.11_0.11_0.11_0.11_0.10_0.10_0.10_0.10_0.13_0.07_0.16_0.08_0.40_0.11_0.11_0.22_0.13_0.08_0.32_0.05_0.10_0.21_0.32_0.19_0.12_0.11_0.08_0.13_0.11_0.07_0.10_0.30_0.21_0.13_0.13_0.10_0.22_0.16_0.13_0.05_0.10_0.96_0.18_0.08_0.08_0.13_0.08_0.09_0.13_0.10_0.10_0.70_0.10_0.13_0.09_0.13_0.09_0.20_0.17_0.10_1.75_0.09_0.09_0.23_0.15_0.10_0.31_0.21_0.09_0.10_0.09_0.14_0.07_0.15_0.14_0.09
0003_wikipedia_tokenized.json,1,3,1.0,80,True,29.418574810028076,542_5_5_9_4_13_5_7_10_14_7_5_7_11_6_6_58_8_14_8_9_5_5_18_5_9_11_5_6_8_8_12_7_6_8_10_6_5_6_7_7_11_6_10_8_9_6_4_7_40_6_20_18_5_5_6_11_7_8_8_13_3_8_27_29_7_6_3_9_8_5_32_12_12_7_6_19_4_5_7,7.97_0.08_0.08_0.14_0.07_0.21_0.08_0.11_0.16_0.22_0.11_0.08_0.11_0.18_0.10_0.10_0.91_0.13_0.22_0.13_0.15_0.08_0.08_0.29_0.08_0.15_0.18_0.08_0.10_0.13_0.13_0.19_0.11_0.10_0.13_0.16_0.10_0.08_0.10_0.12_0.12_0.18_0.10_0.16_0.13_0.15_0.10_0.07_0.12_0.63_0.10_0.32_0.29_0.09_0.09_0.10_0.18_0.12_0.13_0.13_0.21_0.05_0.13_0.43_0.46_0.12_0.10_0.05_0.15_0.14_0.09_0.51_0.20_0.20_0.12_0.10_0.31_0.07_0.09_0.12
0003_wikipedia_tokenized.json,2,3,1.0,80,True,27.913042545318604,344_36_7_6_6_7_7_7_17_12_8_7_9_22_7_6_7_6_4_49_56_9_10_4_7_5_7_8_9_5_19_15_5_5_7_8_6_24_5_6_14_7_7_11_4_7_13_6_7_60_8_7_18_5_17_8_6_8_6_6_8_7_20_13_9_6_8_10_6_57_9_7_9_9_8_5_5_9_5_5,5.05_0.56_0.11_0.10_0.10_0.11_0.11_0.11_0.27_0.19_0.13_0.11_0.15_0.35_0.11_0.10_0.11_0.10_0.07_0.77_0.88_0.14_0.16_0.07_0.11_0.08_0.11_0.13_0.15_0.08_0.30_0.23_0.08_0.08_0.11_0.13_0.10_0.37_0.08_0.10_0.22_0.11_0.11_0.17_0.07_0.11_0.21_0.10_0.11_0.93_0.13_0.11_0.28_0.08_0.27_0.13_0.10_0.13_0.10_0.10_0.13_0.11_0.31_0.21_0.14_0.10_0.13_0.16_0.10_0.89_0.15_0.12_0.15_0.15_0.13_0.09_0.09_0.15_0.09_0.09
